Description,Price (Eur),Number of Rooms,Number of Beds,Area in (sqm),Website,Qualities,Types,Names-Places
Bright & awesome apartment,"€1,200",2,1,54 m²,https://wunderflats.com/en/furnished-apartment/bright-and-awesome-apartment/60979536ad3b9400075ff015?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,['awesome'],['apartment'],['Bright']
Lovely bright 2 room-flat in trendy Kreuzberg with balcony,"€1,400",1,1,60 m²,https://wunderflats.com/en/furnished-apartment/lovely-bright-2-room-flat-in-trendy-kreuzberg-with-balcony/5dc92dbebb78470007c4d0d3?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,"['bright', 'room-flat', 'trendy']",['balcony'],['Kreuzberg']
Large and cozy furnished penthouse in Mitte,"€2,600",4,5,200 m²,https://wunderflats.com/en/furnished-apartment/large-and-cozy-furnished-penthouse-in-mitte/5f5c622685209b0007667305?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,"['Large', 'cozy']",['penthouse'],['Mitte']
Cozy and charming loft in vibrant neighbourhood (Berlin),"€3,800",3,2,200 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-charming-loft-in-vibrant-neighbourhood-berlin/602e502041b35b00088df9dd?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,"['loft', 'vibrant']",['neighbourhood'],"['Cozy', 'Berlin']"
Modern & nice studio (Prenzlauer Berg),€950,1,1,33 m²,https://wunderflats.com/en/furnished-apartment/modern-and-nice-studio-prenzlauer-berg/59c0e13da224be6900722444?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,['nice'],['studio'],"['Modern', 'Prenzlauer', 'Berg']"
Nice apartment in Potsdam,€995,1,2,20 m²,https://wunderflats.com/en/furnished-apartment/nice-apartment-in-potsdam/604b4a068cf3370007167b36?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,[],['apartment'],"['Nice', 'Potsdam']"
"Perfect, neat loft in Berlin-Tempelhof","€4,206",4,3,92 m²,https://wunderflats.com/en/furnished-apartment/perfect-neat-loft-in-berlin-tempelhof/5b2a1cc29a2bb6bb56e4a02f?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,['neat'],['loft'],"['Perfect', 'Berlin-Tempelhof']"
Cozy & quiet loft located in Halensee,€800,1,1,43 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-quiet-loft-located-in-halensee/60cb645f995ff0000745bf46?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,['quiet'],['loft'],"['Cozy', 'Halensee']"
SERVICED APARTMENT: Newly renovated Rooftop apartment for 4 in Berlin Prenzlauer Berg,"€1,980",2,4,50 m²,https://wunderflats.com/en/furnished-apartment/serviced-apartment-newly-renovated-rooftop-apartment-for-4-in-berlin-prenzlauer-berg/5c7538e8eb46a80007c15005?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,['SERVICED'],['apartment'],"['APARTMENT', 'Rooftop', 'Berlin', 'Prenzlauer', 'Berg']"
Newly renovated flat (56sqm) in Berlin-Kreuzberg - 4th floor with balcony,"€1,600",2,1,56 m²,https://wunderflats.com/en/furnished-apartment/newly-renovated-flat-56sqm-in-berlin-kreuzberg-4th-floor-with-balcony/5b589a9448b7514daac2b0bf?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,['flat'],"['floor', 'balcony']",['Berlin-Kreuzberg']
Fashionable & Spacious Suite in Excellent Location,"€1,700",3,1,82 m²,https://wunderflats.com/en/furnished-apartment/fashionable-and-spacious-suite-in-excellent-location/56a644be99c09fd92340bc1e?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,[],[],"['Fashionable', 'Spacious', 'Suite', 'Excellent', 'Location']"
Quiet 2-rooms apartment with balcony in very central location of Prenzlauer Berg (U-bahn/tram: 5min. away),"€1,650",2,1,64 m²,https://wunderflats.com/en/furnished-apartment/quiet-2-rooms-apartment-with-balcony-in-very-central-location-of-prenzlauer-berg-u-bahntram-5min-away/5e4bc8d4c16bb200067a147b?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,"['Quiet', '2-rooms', 'central']","['apartment', 'balcony', 'location']","['Prenzlauer', 'Berg', 'U-bahn/tram']"
"Beautiful, perfect studio with balcony in Kreuzberg","€1,480",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/beautiful-perfect-studio-with-balcony-in-kreuzberg/5d6f7a09d30e6900077449d5?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,['perfect'],"['studio', 'balcony']","['Beautiful', 'Kreuzberg']"
Quiet flat located in Alt-Hohenschönhausen,"€2,500",3,4,70 m²,https://wunderflats.com/en/furnished-apartment/quiet-flat-located-in-alt-hohenschoenhausen/5884eabb419e3a7f4795e118?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,"['Quiet', 'flat']",[],['Alt-Hohenschönhausen']
Beautiful and spacious flat in top location of Friedrichshain,"€1,930",2,1,75 m²,https://wunderflats.com/en/furnished-apartment/beautiful-and-spacious-flat-in-top-location-of-friedrichshain/5be2f485cd95f7b5c65b661d?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,"['spacious', 'flat', 'top']",['location'],"['Beautiful', 'Friedrichshain']"
Lovely flat located in Charlottenburg,"€1,380",3,2,90 m²,https://wunderflats.com/en/furnished-apartment/lovely-flat-located-in-charlottenburg/58727536ec100d73f5fee66a?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,['flat'],[],['Charlottenburg']
Modern and bright apartment in trendy Berlin Kreuzberg,"€1,290",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/modern-and-bright-apartment-in-trendy-berlin-kreuzberg/596fbc8688576bd32a668cc2?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,"['bright', 'trendy']",['apartment'],"['Modern', 'Berlin', 'Kreuzberg']"
Awesome home in Kreuzberg,"€1,930",3,1,67 m²,https://wunderflats.com/en/furnished-apartment/awesome-home-in-kreuzberg/602d18101f4a09000755c82b?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,[],['home'],"['Awesome', 'Kreuzberg']"
Lovely flat in Steglitz (Berlin),"€3,400",4,4,85 m²,https://wunderflats.com/en/furnished-apartment/lovely-flat-in-steglitz-berlin/5c4f25856cbc62000524f292?dataLayerKey=kn8VBoGhz6GUHT50Ma63-,['flat'],[],"['Steglitz', 'Berlin']"
White Apartment Berlin (300m from Ku'damm),"€2,990",3,1,110 m²,https://wunderflats.com/en/furnished-apartment/white-apartment-berlin-300m-from-kudamm/5a572051fb48f22324e5c2c2?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,[],[],"['White', 'Apartment', 'Berlin', ""Ku'damm""]"
"Central city location Berlin Mitte , directly at 2 subways ( U8 & U9 ) , WLAN-Flatrate","€1,250",2,2,62 m²,https://wunderflats.com/en/furnished-apartment/g/central-city-location-berlin-mitte-directly-at-2-subways-u8-and-u9-wlan-flatrate/BJrY1BSvE?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,"['Central', 'WLAN-Flatrate']","['city', 'location']","['Berlin', 'Mitte', 'U8', 'U9']"
"Spacious, cozy studio in Dahlem",€911,1,1,17 m²,https://wunderflats.com/en/furnished-apartment/spacious-cozy-studio-in-dahlem/6020e8398efde80007717c2b?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,"['Spacious', 'cozy']",['studio'],['Dahlem']
Fashionable & new family house (Bohnsdorf),"€3,800",6,8,140 m²,https://wunderflats.com/en/furnished-apartment/fashionable-and-new-family-house-bohnsdorf/5a2d00b5ad4555365af1b17a?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['new'],"['family', 'house']","['Fashionable', 'Bohnsdorf']"
"Pretty, spacious, quiet home (Berlin-Tempelhof-Mariendorf)",€920,1,1,41 m²,https://wunderflats.com/en/furnished-apartment/pretty-spacious-quiet-home-berlin-tempelhof-mariendorf/5c182bec51c364000609bcf9?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,"['spacious', 'quiet']",['home'],['Berlin-Tempelhof-Mariendorf']
PENTHOUSE FLAT with elevator and terrace,"€1,900",2,2,80 m²,https://wunderflats.com/en/furnished-apartment/penthouse-flat-with-elevator-and-terrace/5cadd73f3e7e190006a5615f?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,[],"['elevator', 'terrace']","['PENTHOUSE', 'FLAT']"
Fully furnished 3 room apartment in Berlin Tempelhof-Schöneberg,"€1,690",3,4,70 m²,https://wunderflats.com/en/furnished-apartment/fully-furnished-3-room-apartment-in-berlin-tempelhof-schoeneberg/6098de4aad3b9400076024a3?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,[],"['room', 'apartment']","['Berlin', 'Tempelhof-Schöneberg']"
"Gorgeous, fantastic home in Charlottenburg (Berlin)","€1,200",3,3,76 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-fantastic-home-in-charlottenburg-berlin/602cd86a422e3000088570f9?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['fantastic'],['home'],"['Gorgeous', 'Charlottenburg', 'Berlin']"
New & lovely apartment in Konradshöhe,"€1,900",2,2,80 m²,https://wunderflats.com/en/furnished-apartment/new-and-lovely-apartment-in-konradshoehe/5e25c4c9bcdd6d00065da969?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['lovely'],['apartment'],"['New', 'Konradshöhe']"
Directly on the water +Large balcony with lake view+ Summer dream on the Großer Wannsee,"€1,200",1,2,49 m²,https://wunderflats.com/en/furnished-apartment/directly-on-the-water-large-balcony-with-lake-view-summer-dream-on-the-grosser-wannsee/60894f57218505000836a279?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,[],"['water', '+Large', 'balcony', 'lake', 'dream']","['Summer', 'Großer', 'Wannsee']"
"Nice loft in Moabit, Berlin","€1,400",3,3,78 m²,https://wunderflats.com/en/furnished-apartment/nice-loft-in-moabit-berlin/6000062301294b00062d016d?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,[],['loft'],"['Nice', 'Moabit', 'Berlin']"
Nice and spacious apartment with nice city view,€900,1,1,26 m²,https://wunderflats.com/en/furnished-apartment/nice-and-spacious-apartment-with-nice-city-view/5e6f3862b7758900065e3ee8?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,"['spacious', 'nice']","['apartment', 'city', 'view']",['Nice']
Beautiful and great design apartment in quiet street,"€1,900",2,1,70 m²,https://wunderflats.com/en/furnished-apartment/beautiful-and-great-design-apartment-in-quiet-street/5e81cad3f3be9700064560d6?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,"['great', 'quiet']","['design', 'apartment', 'street']",['Beautiful']
Beautifully furnished 2 room apartment in the Grunewald district on a green side street,"€1,670",2,1,68 m²,https://wunderflats.com/en/furnished-apartment/beautifully-furnished-2-room-apartment-in-the-grunewald-district-on-a-green-side-street/5e83595501f8de00064b741c?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,"['furnished', 'green']","['room', 'apartment', 'district', 'side', 'street']",['Grunewald']
Apartment with a view and a sunny balcony in Berlin-Friedrichshain,"€1,240",2,1,55 m²,https://wunderflats.com/en/furnished-apartment/apartment-with-a-view-and-a-sunny-balcony-in-berlin-friedrichshain/5bc137bb809e84ae26a14dbf?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['sunny'],"['Apartment', 'view', 'balcony']",['Berlin-Friedrichshain']
"Beautiful 2 Rooms Flat in Treptow, directly at Treptower-Park close to Mediaspree","€1,300",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/beautiful-2-rooms-flat-in-treptow-directly-at-treptower-park-close-to-mediaspree/5e62107f3c40d00006cf3cfa?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['Beautiful'],['close'],"['Rooms', 'Flat', 'Treptow', 'Treptower-Park', 'Mediaspree']"
Nice apartment - great view!,"€1,750",2,2,60 m²,https://wunderflats.com/en/furnished-apartment/nice-apartment-great-view/558030d035b86e69047347b7?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['great'],"['apartment', 'view']",['Nice']
Lovingly furnished bright studio apartment in Prenzlauer Berg,"€2,600",3,1,100 m²,https://wunderflats.com/en/furnished-apartment/lovingly-furnished-bright-studio-apartment-in-prenzlauer-berg/5e2b0306e67ec6000775f4a2?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['bright'],"['studio', 'apartment']","['Prenzlauer', 'Berg']"
"Exclusive, sunny design APARTMENT in quiet residential area...",€890,2,1,30 m²,https://wunderflats.com/en/furnished-apartment/exclusive-sunny-design-apartment-in-quiet-residential-area/5f154cb5a044e90006c9b2f7?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,"['sunny', 'quiet', 'residential']","['design', 'area']","['Exclusive', 'APARTMENT']"
Stylish Design Apartment 120qm very close to Savignyplatz near Kurfürstendamm,"€3,490",5,4,120 m²,https://wunderflats.com/en/furnished-apartment/stylish-design-apartment-120qm-very-close-to-savignyplatz-near-kurfuerstendamm/5f082114a7945b0006533d21?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['Stylish'],[],"['Design', 'Apartment', 'Savignyplatz', 'Kurfürstendamm']"
"Quiet, central apartment neat Park Sanssouci","€1,500",2,2,72 m²,https://wunderflats.com/en/furnished-apartment/quiet-central-apartment-neat-park-sanssouci/5de15ce0c0c3250008afbb9a?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,"['Quiet', 'central']","['apartment', 'neat']","['Park', 'Sanssouci']"
"Your design apartment, first time use, 60 sqm, 2 balconies, underfloor heating, real wood flooring, floor-to-ceiling windows, elevator, etc. is waiting for YOU!","€1,790",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/your-design-apartment-first-time-use-60-sqm-2-balconies-underfloor-heating-real-wood-flooring-floor-to-ceiling-windows-elevator-etc-is-waiting-for-you/5e5cfe0a3177900007de6d16?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,"['first', 'underfloor', 'real', 'floor-to-ceiling']","['design', 'apartment', 'time', 'use', 'sqm', 'heating', 'wood', 'flooring', 'elevator', 'YOU']",[]
Luxury Maisonette Loft,"€2,950",3,2,100 m²,https://wunderflats.com/en/furnished-apartment/luxury-maisonette-loft/603765bc0f96740007278419?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,[],[],"['Luxury', 'Maisonette', 'Loft']"
Great apartment with own garden and terrace,"€1,690",2,1,55 m²,https://wunderflats.com/en/furnished-apartment/great-apartment-with-own-garden-and-terrace/5cd0a34f6556000007b9a169?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['own'],"['apartment', 'garden', 'terrace']",['Great']
Bright apartment in Prenzlauer Berg,"€2,500",3,2,96 m²,https://wunderflats.com/en/furnished-apartment/bright-apartment-in-prenzlauer-berg/604481bd1cb37a0007892845?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['Bright'],['apartment'],"['Prenzlauer', 'Berg']"
Cozy & amazing home in Kreuzberg,"€2,600",3,2,90.11 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-amazing-home-in-kreuzberg/5ee1d865a095a200060d53c2?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,['amazing'],['home'],"['Cozy', 'Kreuzberg']"
Gorgeous and neat suite conveniently located,"€2,950",3,2,158 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-and-neat-suite-conveniently-located/59bfec881df609a1be149158?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,"['Gorgeous', 'neat']",['suite'],[]
Lovely studio (Prenzlauer Berg),"€2,170",2,1,68 m²,https://wunderflats.com/en/furnished-apartment/lovely-studio-prenzlauer-berg/5cc0345c98883f00099a433b?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,[],['studio'],"['Prenzlauer', 'Berg']"
Designer apartment with balcony in Moabit,"€1,400",1,1,34 m²,https://wunderflats.com/en/furnished-apartment/designer-apartment-with-balcony-in-moabit/5e184f67bbf31b0007de0bba?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,[],"['apartment', 'balcony']","['Designer', 'Moabit']"
New Building right on Potsdamer Platz with concierge & water view,"€1,790",2,2,45 m²,https://wunderflats.com/en/furnished-apartment/new-building-right-on-potsdamer-platz-with-concierge-and-water-view/5c0e94a7c09460000542c438?dataLayerKey=mrFcmVLdSyGZfOHxjuvvr,[],"['right', 'concierge', 'water', 'view']","['New', 'Building', 'Potsdamer', 'Platz']"
Beletage in Mitte,"€2,499",3,2,79 m²,https://wunderflats.com/en/furnished-apartment/beletage-in-mitte/5c3cc318f993f60006f42e22?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,[],['Beletage'],['Mitte']
First Use - Nice & modern apartment in Berlin MITTE,"€4,485",4,3,135.1 m²,https://wunderflats.com/en/furnished-apartment/first-use-nice-and-modern-apartment-in-berlin-mitte/5dc99c5b1fcc3f0006df73e1?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['modern'],['apartment'],"['Use', 'Nice', 'Berlin', 'MITTE']"
Spacious and stylish appartment in Friedrichstraße of Berlin Mitte,"€3,900",2,1,68 m²,https://wunderflats.com/en/furnished-apartment/g/spacious-and-stylish-appartment-in-friedrichstrasse-of-berlin-mitte/BrBGSHv1Zu?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,"['Spacious', 'stylish']",['appartment'],"['Friedrichstraße', 'Berlin', 'Mitte']"
Cozy & cute flat in Schöneberg,"€1,243",1,1,42 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-cute-flat-in-schoeneberg/57862ab1847173f1309ede1c?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['cute'],['flat'],"['Cozy', 'Schöneberg']"
Perfect and pretty suite (Charlottenburg),"€1,100",1,1,32 m²,https://wunderflats.com/en/furnished-apartment/perfect-and-pretty-suite-charlottenburg/5f808c86a2aed60006fbc002?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['suite'],[],"['Perfect', 'Charlottenburg']"
Wonderful & charming loft in Kreuzberg (Berlin),"€2,600",4,3,92.67 m²,https://wunderflats.com/en/furnished-apartment/wonderful-and-charming-loft-in-kreuzberg-berlin/6037cea65516140008519a7d?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,[],['loft'],"['Wonderful', 'Kreuzberg', 'Berlin']"
"Greatly located and neat flat in Berlin, Prenzlauer Berg",€950,1,1,22 m²,https://wunderflats.com/en/furnished-apartment/greatly-located-and-neat-flat-in-berlin-prenzlauer-berg/550320400d853bf574a2af96?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,"['neat', 'flat']",[],"['Berlin', 'Prenzlauer', 'Berg']"
"Exclusive, spacious and renovated 4-room apartment with 2 balconies and 2 bathrooms in Charlottenburg, Berlin","€5,680",3,2,160 m²,https://wunderflats.com/en/furnished-apartment/exclusive-spacious-and-renovated-4-room-apartment-with-2-balconies-and-2-bathrooms-in-charlottenburg-berlin/5fae5123a572ed0006ba3ce8?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,"['spacious', '4-room']",['apartment'],"['Exclusive', 'Charlottenburg', 'Berlin']"
Charming little Appartment in Neukölln (furnished),"€1,300",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/charming-little-appartment-in-neukoelln-furnished/5acd09b9d87489da9cd89648?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['little'],[],"['Appartment', 'Neukölln']"
"Bright and lovely suite in the heart of town, Berlin","€3,696",3,3,80 m²,https://wunderflats.com/en/furnished-apartment/bright-and-lovely-suite-in-the-heart-of-town-berlin/5767d825bed9724267ef62fd?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['suite'],"['heart', 'town']","['Bright', 'Berlin']"
Amazing and gorgeous flat in Mitte,"€1,995",4,2,110 m²,https://wunderflats.com/en/furnished-apartment/amazing-and-gorgeous-flat-in-mitte/5bf41df39e25810005b98823?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,"['gorgeous', 'flat']",[],"['Amazing', 'Mitte']"
Clean & gorgeous home in popular area,"€1,590",2,4,47 m²,https://wunderflats.com/en/furnished-apartment/clean-and-gorgeous-home-in-popular-area/5503278f0d853bf574a2af9a?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,"['gorgeous', 'popular']","['home', 'area']",['Clean']
"This light-flooded apartment is perfect for couples and singles alike, in the midst of beautiful Winskiez with a beautiful view of the Alex, symbol of Berlin","€1,850",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/this-light-flooded-apartment-is-perfect-for-couples-and-singles-alike-in-the-midst-of-beautiful-winskiez-with-a-beautiful-view-of-the-alex-symbol-of-berlin/5d94e9fe3d86c10006125331?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,"['light-flooded', 'perfect', 'beautiful', 'beautiful']","['apartment', 'midst', 'view', 'symbol']","['Winskiez', 'Alex', 'Berlin']"
downtown Friedrichshain - but quiet with Garden view,€999,1,1,36 m²,https://wunderflats.com/en/furnished-apartment/downtown-friedrichshain-but-quiet-with-garden-view/59d3d1e23226e6effc0108e9?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['quiet'],"['downtown', 'view']","['Friedrichshain', 'Garden']"
Two bedroom penthouse flat with 2 balconies in Charlottenburg,"€2,000",3,3,103 m²,https://wunderflats.com/en/furnished-apartment/two-bedroom-penthouse-flat-with-2-balconies-in-charlottenburg/5efce59e32e3c80006d036dc?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['flat'],['bedroom'],['Charlottenburg']
"Lovely, beautiful apartment located in Weißensee","€1,200",2,1,35 m²,https://wunderflats.com/en/furnished-apartment/lovely-beautiful-apartment-located-in-weissensee/5fa571b4c49a8100077d24ab?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['beautiful'],['apartment'],['Weißensee']
Amazing and great suite conveniently located,"€1,800",3,4,65 m²,https://wunderflats.com/en/furnished-apartment/amazing-and-great-suite-conveniently-located/5fabae230ffac00006e4cfb4?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['great'],['suite'],['Amazing']
Modern apartment in 5-Star hotel with great view of Potsdamer Platz,"€3,900",1,1,50 m²,https://wunderflats.com/en/furnished-apartment/g/modern-apartment-in-5-star-hotel-with-great-view-of-potsdamer-platz/smrhQylzUV?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,"['Modern', '5-Star', 'great']","['apartment', 'hotel', 'view']","['Potsdamer', 'Platz']"
Modern and beautiful apartment conveniently located near canal in reuterkiez area,"€10,500",6,7,260 m²,https://wunderflats.com/en/furnished-apartment/modern-and-beautiful-apartment-conveniently-located-near-canal-in-reuterkiez-area/5efd9c00a75dbb0007d1e805?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,"['beautiful', 'reuterkiez']","['apartment', 'canal', 'area']",['Modern']
Furnished 2 room apartment in Schöneberg,"€1,350",2,4,70 m²,https://wunderflats.com/en/furnished-apartment/furnished-2-room-apartment-in-schoeneberg/5f435f8cc5971d0006f49022?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['Furnished'],"['room', 'apartment']",['Schöneberg']
"Bright, awesome Loft near Winterfeldplatz","€1,890",2,1,80 m²,https://wunderflats.com/en/furnished-apartment/bright-awesome-loft-near-winterfeldplatz/5c6e51dde7ce570008c9817e?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['awesome'],[],"['Bright', 'Loft', 'Winterfeldplatz']"
The luxurious and generous Suite with great view of Potsdamer Platz.,"€4,500",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/g/the-luxurious-and-generous-suite-with-great-view-of-potsdamer-platz/JOatNTJx7L?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,"['luxurious', 'generous', 'great']",['view'],"['Suite', 'Potsdamer', 'Platz']"
"Modern spacious Villa  in Grunewald, Berlin","€11,000",8,7,410 m²,https://wunderflats.com/en/furnished-apartment/modern-spacious-villa-in-grunewald-berlin/5dddb427191bc200070340ca?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['spacious'],[],"['Modern', 'Villa', 'Grunewald', 'Berlin']"
Spacious and Unique Apartment  in Neukölln,"€4,200",3,3,113 m²,https://wunderflats.com/en/furnished-apartment/spacious-and-unique-apartment-in-neukoelln/5ffaf881cbb17900069deaeb?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['Spacious'],[],"['Unique', 'Apartment', 'Neukölln']"
Grand Suite in 5-Star Hotel at Potsdamer Platz in Berlin,"€5,400",2,1,80 m²,https://wunderflats.com/en/furnished-apartment/g/grand-suite-in-5-star-hotel-at-potsdamer-platz-in-berlin/jUpeCZiwGQ?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['5-Star'],[],"['Grand', 'Suite', 'Hotel', 'Potsdamer', 'Platz', 'Berlin']"
Spacious & bright apartment (Berlin),"€3,200",2,2,70 m²,https://wunderflats.com/en/furnished-apartment/spacious-and-bright-apartment-berlin/609ba45de6df3e0008a76b94?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['bright'],['apartment'],"['Spacious', 'Berlin']"
Luxury apartment in Grunewald - with lake access,"€3,240",3,2,114 m²,https://wunderflats.com/en/furnished-apartment/luxury-apartment-in-grunewald-with-lake-access/5ecb879df44fd7000755d55f?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['lake'],"['apartment', 'access']","['Luxury', 'Grunewald']"
Awesome & nice home in Steglitz (Berlin),"€1,230",2,1,53 m²,https://wunderflats.com/en/furnished-apartment/awesome-and-nice-home-in-steglitz-berlin/5e1c41d6ee55fc0006afc39e?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['nice'],['home'],"['Awesome', 'Steglitz', 'Berlin']"
Furnished 3-room apartment with bright and spacious living area,"€2,480",3,2,79 m²,https://wunderflats.com/en/furnished-apartment/furnished-3-room-apartment-with-bright-and-spacious-living-area/60d0a1a3c8748d0007b6accb?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,"['3-room', 'bright', 'spacious']","['apartment', 'living', 'area']",[]
Royal Designer 3 bedroom apartment in a side street off Ku'Damm,"€6,900",5,4,170 m²,https://wunderflats.com/en/furnished-apartment/royal-designer-3-bedroom-apartment-in-a-side-street-off-kudamm/5c4750dfdc30c20006e4853b?dataLayerKey=SHtaF0hqDszqy-yaXjYxb,['side'],"['bedroom', 'apartment', 'street']","['Royal', 'Designer', ""Ku'Damm""]"
Fantastic & amazing suite in Mitte,"€5,500",5,2,125 m²,https://wunderflats.com/en/furnished-apartment/fantastic-and-amazing-suite-in-mitte/5767e988bed9724267ef6305?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,[],['suite'],"['Fantastic', 'Mitte']"
Design Apartment - 3 Rooms - pool access and parking - fully furnished - all incl.,"€3,200",3,1,140 m²,https://wunderflats.com/en/furnished-apartment/design-apartment-3-rooms-pool-access-and-parking-fully-furnished-all-incl/594befa3c43ad37fbc6cf677?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,[],"['pool', 'access', 'incl']","['Design', 'Apartment', 'Rooms']"
Fantastic loft located in Westend,"€1,350",2,1,44 m²,https://wunderflats.com/en/furnished-apartment/fantastic-loft-located-in-westend/5f56149063797c0006d6768b?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['Fantastic'],['loft'],['Westend']
2 room apartment with upscale furnishings and view of the Heiliger See,"€2,493",2,1,61.4 m²,https://wunderflats.com/en/furnished-apartment/2-room-apartment-with-upscale-furnishings-and-view-of-the-heiliger-see/5f4755de50c5c700061de194?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['upscale'],"['room', 'apartment', 'view']","['Heiliger', 'See']"
"Bright, lovely loft in Tiergarten","€2,780",4,3,94.76 m²,https://wunderflats.com/en/furnished-apartment/bright-lovely-loft-in-tiergarten/5f21474fdbfb3c0006891d79?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['loft'],[],"['Bright', 'Tiergarten']"
